"","cata","title","date","year","time","re","fw"
"1","問卦"," 有沒有在PTT的大陸人很囂張的八卦","12/23",2008,2008-12-23,TRUE,FALSE
"2","問卦"," 有沒有SNL的八卦","12/23",2008,2008-12-23,TRUE,FALSE
"3","問卦"," 有沒有大島由加利（力王裡的殺手）的八卦","12/23",2008,2008-12-23,TRUE,FALSE
"4","問卦"," 有沒有海陸兩棲的八卦?","12/24",2008,2008-12-24,TRUE,FALSE
"5","新聞"," 濫用民眾愛心！創世基金會侵吞善款20億","12/24",2008,2008-12-24,TRUE,FALSE
"6","問卦"," 有中國p2p和金盾的八卦嗎?","12/27",2008,2008-12-27,TRUE,FALSE
"7","新聞"," 給葉署長的電子信》火車上，醫師只談賺錢","12/27",2008,2008-12-27,TRUE,FALSE
"8","問卦"," 四小天王?","12/27",2008,2008-12-27,TRUE,FALSE
"9","爆卦"," 這應該不是八卦..是事實吧!!","1/01",2009,2009-01-01,FALSE,FALSE
"10","問卦"," 中國男生出門很愛穿西裝皮鞋的原因?","1/07",2009,2009-01-07,TRUE,FALSE
"11","問卦"," 有沒有台南市長榮中學的八卦?","1/07",2009,2009-01-07,TRUE,FALSE
"12","問卦"," 有沒有張智成消失很久的八卦","1/07",2009,2009-01-07,TRUE,FALSE
"13","問卦"," 有沒有傳教士的八卦？","1/08",2009,2009-01-08,TRUE,FALSE
"14","神人"," ?中央大學4位學生 搭乘國光客運遺失皮夾","1/08",2009,2009-01-08,TRUE,FALSE
"15",NA,"Re: 請問有沒有Mr.Children的八卦呀？","1/11",2009,2009-01-11,NA,NA
"16","轉錄","  問題 關於勁舞團","1/12",2009,2009-01-12,TRUE,FALSE
"17","問卦"," 請問有一次模仿33藝人的八卦嗎？","1/20",2009,2009-01-20,TRUE,FALSE
"18","道歉","武嶺事件說明","1/20",2009,2009-01-20,FALSE,FALSE
"19","問卦"," 有沒有柳橙汁今年特別甜的八卦","2/02",2009,2009-02-02,TRUE,FALSE
"20","問卦"," 有沒有集郵的八卦??","2/02",2009,2009-02-02,TRUE,FALSE
"21","問卦"," 有沒的香港艷片導演-李翰祥的八卦","2/04",2009,2009-02-04,TRUE,FALSE
"22","問卦"," 有沒有wii拿台灣人民當白痴的八卦?","2/05",2009,2009-02-05,TRUE,FALSE
"23","問卦"," 有叫燴的八卦嗎","2/06",2009,2009-02-06,TRUE,FALSE
"24","論卦"," 黎胖子買完報紙 再買電視台...","2/08",2009,2009-02-08,TRUE,FALSE
"25","新聞"," 因思銳宣佈取得《石器時代 2》台灣代理 ","2/09",2009,2009-02-09,TRUE,FALSE
"26","問卦"," 臺灣的波麗士鎮的住黑道嘛","2/09",2009,2009-02-09,TRUE,FALSE
"27","問卦"," 中國男生出門很愛穿西裝皮鞋的原因?","2/10",2009,2009-02-10,TRUE,FALSE
"28","爆卦"," 台商特刊（中國政府挺馬文宣）","2/11",2009,2009-02-11,FALSE,FALSE
"29","新聞"," 消基會：92%有機農產品....","2/11",2009,2009-02-11,TRUE,FALSE
"30","內幕"," VISA金融卡的風險->戶頭盜刷一空","2/11",2009,2009-02-11,FALSE,FALSE
"31","爆卦"," 哈哈哈 八卦成真","2/12",2009,2009-02-12,TRUE,FALSE
"32","問卦"," 東京大學的八卦","2/15",2009,2009-02-15,TRUE,FALSE
"33","問卦"," 其他bbs站打不過ptt的八卦??","2/15",2009,2009-02-15,TRUE,FALSE
"34","問卦"," 有沒有漫畫家 川口開治 的八卦?","2/16",2009,2009-02-16,TRUE,FALSE
"35","問卦"," 清末武師 李書文 黃飛鴻 劉雲樵 葉問 ","2/16",2009,2009-02-16,TRUE,FALSE
"36","問卦"," 有沒有因為海賊王漫畫就被關的八卦？","2/16",2009,2009-02-16,TRUE,FALSE
"37","新聞"," 自助遊日猝死 旅館4天無人問","2/16",2009,2009-02-16,TRUE,FALSE
"38","問卦"," 有關家樂福阿莎力出清","2/16",2009,2009-02-16,TRUE,FALSE
"39","問卦"," 有沒有梨山的八卦?","2/16",2009,2009-02-16,TRUE,FALSE
"40","問卦"," 有沒有因為海賊王漫畫就被關的八卦？","2/17",2009,2009-02-17,TRUE,FALSE
"41","作夢"," 囧令的72變.....","2/17",2009,2009-02-17,FALSE,FALSE
"42","問卦"," 光陰的故事昨收視率贏民視的八卦","2/17",2009,2009-02-17,TRUE,FALSE
"43","爆卦"," 剩人乃鴿的那場陳年舊夢","2/18",2009,2009-02-18,FALSE,FALSE
"44","論卦"," 共產主義是文明社會演化的終點?","2/21",2009,2009-02-21,TRUE,FALSE
"45","問卦"," 有鎖匠的八卦嗎","2/21",2009,2009-02-21,TRUE,FALSE
"46","問卦"," 有鎖匠的八卦嗎","2/21",2009,2009-02-21,TRUE,FALSE
"47","問卦"," 有鎖匠的八卦嗎","2/21",2009,2009-02-21,TRUE,FALSE
"48",NA,"比利時童話 尿尿小童VS尿尿女孩","2/22",2009,2009-02-22,NA,NA
"49","問卦"," 剛聽到的......清華出人命？！？","2/23",2009,2009-02-23,TRUE,FALSE
"50","新聞"," 國軍不打靶捐助金沒了　枋山鄉長抗議 ","2/25",2009,2009-02-25,TRUE,FALSE
"51","新聞"," 痛批清大放任漏電　學生：多人被電過且 ","2/25",2009,2009-02-25,TRUE,FALSE
"52","問卦"," 網路漫畫家怎麼瘋狂的","2/26",2009,2009-02-26,TRUE,FALSE
"53","問卦"," 有沒有瑪雅文明預言的世界末日的八卦阿","2/26",2009,2009-02-26,TRUE,FALSE
"54","論卦"," 關於波蘭醫生的二三事","2/28",2009,2009-02-28,FALSE,FALSE
"55","新聞"," 被掩蓋的真相陳儀 是非魔癡228","3/01",2009,2009-03-01,TRUE,FALSE
"56","新聞"," 高鐵苦撐航空垮  交通政策全輸","3/01",2009,2009-03-01,TRUE,FALSE
"57","問卦"," 有醫生等級的八卦嗎","3/02",2009,2009-03-02,TRUE,FALSE
"58","新聞"," 「菠蘿麵包成本僅3元」　消基會促降價","3/06",2009,2009-03-06,TRUE,FALSE
"59","新聞"," 「菠蘿麵包成本僅3元」　消基會促降價","3/06",2009,2009-03-06,TRUE,FALSE
"60","新聞"," 婦淚控家樂福 誣偷竊賠10倍","3/09",2009,2009-03-09,TRUE,FALSE
"61","問卦"," 有沒有台灣護士很辛苦的八卦","3/10",2009,2009-03-10,TRUE,FALSE
"62","新聞"," 高考二級將加考中國憲法 考生傻眼","3/10",2009,2009-03-10,TRUE,FALSE
"63","問卦"," 有沒有英美法系陪審團制風迷全球的八卦","3/11",2009,2009-03-11,TRUE,FALSE
"64","新聞"," 台灣研發電子紙　專利冠全球","3/11",2009,2009-03-11,TRUE,FALSE
"65","問卦"," 核能電廠","3/12",2009,2009-03-12,TRUE,FALSE
"66","轉錄","[爆卦] 去東京加油的球迷所看到 聽到的事實","3/12",2009,2009-03-12,FALSE,FALSE
"67","轉錄","[爆卦] 去東京加油的球迷所看到 聽到的事實","3/12",2009,2009-03-12,TRUE,FALSE
"68","問卦"," 核能電廠","3/12",2009,2009-03-12,TRUE,FALSE
"69","新聞"," 摸很久下面癢癢 熟女抓到狼爪","3/12",2009,2009-03-12,TRUE,FALSE
"70","新聞"," 郭冠櫻:我不是泛藍欽","3/14",2009,2009-03-14,TRUE,FALSE
"71","問卦"," 有沒有海巡當兵很黑暗的八卦","3/14",2009,2009-03-14,TRUE,FALSE
"72","問卦"," 有沒有真正發動鴉片戰爭的八卦?","3/14",2009,2009-03-14,TRUE,FALSE
"73","政八"," 郭冠英和周美青很早就熟識了","3/14",2009,2009-03-14,FALSE,FALSE
"74","政八"," 郭冠英=范蘭欽的證據-->好友的紀錄","3/14",2009,2009-03-14,FALSE,FALSE
"75","閒聊"," 郭冠英傳說懶人包   0.30版","3/15",2009,2009-03-15,FALSE,FALSE
"76","閒聊"," 郭冠英傳說懶人包   0.30版","3/15",2009,2009-03-15,TRUE,FALSE
"77","問卦"," 有沒有安立的八卦?","3/17",2009,2009-03-17,TRUE,FALSE
"78","新聞"," 哥哥爸爸散了 國中生住教室月餘","3/20",2009,2009-03-20,TRUE,FALSE
"79","新聞"," 墨西哥總統隨扈 竟是毒梟臥底 ","3/21",2009,2009-03-21,TRUE,FALSE
"80","新聞"," 父母沒反彈出櫃 姊姊卻不能接受","3/24",2009,2009-03-24,FALSE,FALSE
"81","轉錄","[新聞] 台籍波蘭醫學生入侵的醫院(最新븠","3/24",2009,2009-03-24,FALSE,FALSE
"82","轉錄","[新聞] 台籍波蘭醫學生入侵的醫院(最新븠","3/24",2009,2009-03-24,TRUE,FALSE
"83","新聞"," 潛逃大馬操舊業煉毒 4台灣人恐被處絞刑","3/25",2009,2009-03-25,TRUE,FALSE
"84","轉錄","真實故事--一個不斷利用刑警身份的人，뤠","3/26",2009,2009-03-26,FALSE,FALSE
"85","轉錄","真實故事--一個不斷利用刑警身份的人，뤠","3/26",2009,2009-03-26,TRUE,FALSE
"86","轉錄","[懶人包] 今天才發生的事 西斯版藍爆八卦","3/27",2009,2009-03-27,FALSE,FALSE
"87","問卦"," 有沒有國內線上遊戲畫面不好的八卦","3/28",2009,2009-03-28,TRUE,FALSE
"88","新聞"," 星巴克放下身段 低價搶市","3/31",2009,2009-03-31,TRUE,FALSE
"89","問卦"," 有沒有新台幣鈔票圖樣的八卦","3/31",2009,2009-03-31,TRUE,FALSE
"90","新聞"," 中國客來台觀光 野柳岩壁刻字","4/01",2009,2009-04-01,TRUE,FALSE
"91","爆掛","  波波懶人包  自行取用","4/04",2009,2009-04-04,FALSE,FALSE
"92","爆掛","  波波懶人包  自行取用","4/04",2009,2009-04-04,TRUE,FALSE
"93","爆卦"," 西藏密宗不是佛教","4/05",2009,2009-04-05,TRUE,FALSE
"94","新聞"," 受不了台灣電視生態？　演藝圈內幕。","4/05",2009,2009-04-05,TRUE,FALSE
"95","問卦"," 有沒有胡x女婿的八卦?","4/07",2009,2009-04-07,TRUE,FALSE
"96","新聞"," 穩發161號漁船 索國海盜劫持","4/07",2009,2009-04-07,TRUE,FALSE
"97","問卦"," 公車上的逼TV","4/07",2009,2009-04-07,TRUE,FALSE
"98","波波"," 當波波錯了 -- 我要踢爆代辦的陰謀!!","4/08",2009,2009-04-08,TRUE,FALSE
"99","新聞"," 德國笑：中國汽車是廢鐵","4/10",2009,2009-04-10,TRUE,FALSE
"100","爆卦"," 法律相關科系小林同學疑似詐欺之~懶人包","4/11",2009,2009-04-11,FALSE,FALSE
"101","新聞"," 德國笑：中國汽車是廢鐵","4/11",2009,2009-04-11,TRUE,FALSE
"102","內幕"," 中華電信掌控 Peering 有多狠，請看這篇","4/11",2009,2009-04-11,TRUE,FALSE
"103","內幕"," 中華電信掌控 Peering 有多狠，請看這篇","4/12",2009,2009-04-12,TRUE,FALSE
"104","問卦"," 有無女王下巴變尖變瘦的八卦呢?","4/13",2009,2009-04-13,TRUE,FALSE
"105","問卦"," 有人知道兩三年前的外送PIZZA被控襲胸긠","4/15",2009,2009-04-15,TRUE,FALSE
"106","新聞"," 一圓咖啡夢 遠東科大餐管系學生赴澳洲뤠","4/16",2009,2009-04-16,TRUE,FALSE
"107","爆卦"," 整理花蓮霸凌事件懶人包","4/17",2009,2009-04-17,FALSE,FALSE
"108","論卦"," 花蓮瑞X國中鬥毆事件 捷徑整理","4/18",2009,2009-04-18,FALSE,FALSE
"109","轉錄","[新聞] 「50年都考不過」　波蘭醫家長抗議","4/19",2009,2009-04-19,TRUE,FALSE
"110","問卦"," 名人的死前名言","4/20",2009,2009-04-20,FALSE,FALSE
"111","問卦"," 名人的死前名言","4/20",2009,2009-04-20,TRUE,FALSE
"112","問卦"," 名人的死前名言","4/21",2009,2009-04-21,TRUE,FALSE
"113","爆卦"," 瑞穗國中校長聲明","4/21",2009,2009-04-21,FALSE,FALSE
"114","爆卦"," 瑞穗國中校長聲明","4/21",2009,2009-04-21,TRUE,FALSE
"115","爆卦"," 海大Ｗ教授事件，其他八卦","4/21",2009,2009-04-21,FALSE,FALSE
"116","論卦","[波波] 5/6公聽會文字紀錄實況轉播round 1","5/06",2009,2009-05-06,TRUE,FALSE
"117","論卦"," [波波] 今天立法院場外照片與心得","5/06",2009,2009-05-06,FALSE,FALSE
"118","轉錄","[波波] 又是做夢文...","5/06",2009,2009-05-06,TRUE,FALSE
"119","新聞"," 泰北孤軍後裔　梅子滯銷待援","5/07",2009,2009-05-07,TRUE,FALSE
